GeneSet	BM448.CG2.LUC.mCherry.no71	BM449.CG2.LUC.mCherry.no75	BM455.CG2.LUC.mCherry.no84	BM462.CG2.LUC.mCherry.no98	BM472.CG2.RAS.mCherry.no77	BM508.CG2.RAS.mCherry.no79	BM522.CG2.RAS.mCherry.no70	BM458.MIC.LUC.mCherry.no102	BM474.MIC.LUC.mCherry.no106	BM485.MIC.LUC.mCherry.no110
Lkaaear1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930402F06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm2381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Jund	74.87	180.75	23.84	37.07	250.87	277.26	139.72	94.36	90.33	97.46
Gm28490	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glg1	46.36	49.19	31.12	50.9	27.74	22.46	34.91	32.38	32.14	41.55
Ttc23l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fibp	28.35	35.75	23.07	28.21	44.77	23.62	33.29	17.17	17.26	20.08
Fam102b	3.7	7.07	2.29	3.45	9.63	2.43	5.27	9.85	6.94	10.9
Fam102a	2.42	1.17	1.15	0.66	0.96	3.84	1.63	9.99	6.22	9.55
Gm16494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Trio	10.8	4.95	4.61	8.11	5.42	2.62	7.59	4.88	2.4	5.43
Ppp4c	122.88	119.49	112.21	118.82	125.74	144.54	134.14	103.26	89.89	130.16
Gldc	0.0	0.02	0.0	0.05	0.02	0.12	0.19	0.11	0.0	0.05
Tril	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0
Crebrf	23.84	37.08	22.81	26.38	24.05	20.32	17.59	27.31	26.87	30.27
Nanog	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.03
Gm39115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gldn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fam104a	19.76	23.06	23.76	25.98	32.79	29.85	21.36	17.11	19.39	21.35
C130079G13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gatad2a	58.89	63.28	53.0	61.21	65.33	73.19	70.9	39.21	39.35	45.47
Junb	103.39	192.3	21.35	39.1	431.41	172.47	220.55	104.38	79.5	155.36
Gatad2b	37.7	41.74	33.11	44.22	34.27	26.71	31.1	26.63	25.75	34.79
Gm16442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm16440	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mpped2	0.13	0.0	1.58	0.03	0.0	19.78	0.0	0.0	0.12	0.0
Mpped1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ttc21b	4.16	4.49	4.41	7.46	8.23	0.6	5.24	1.38	5.07	1.75
Rgs7bp	23.96	19.59	14.35	32.82	1.68	0.11	10.88	0.06	0.24	0.13
Gli1	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm15114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gli3	0.01	0.01	0.0	0.0	0.03	0.0	0.0	0.0	0.03	0.0
Gli2	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0
Tmed10	97.35	85.17	76.12	84.16	103.73	68.75	104.62	73.31	65.99	101.81
Adipoq	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.05	0.14
Macrod2	4.67	16.1	8.84	13.98	15.83	7.3	9.39	1.04	1.76	0.92
1700001J03Rik	0.22	0.66	0.0	0.0	0.24	0.15	0.0	0.15	0.0	0.15
Macrod1	15.09	15.36	13.83	15.04	18.53	3.66	9.86	3.22	12.73	5.26
Noxa1	0.0	0.06	0.15	0.24	0.28	0.43	0.0	0.0	0.0	0.04
Ttc9c	30.97	32.25	41.34	40.16	38.38	34.59	32.13	22.22	37.37	36.98
Ttc9b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03
Cyp7b1	0.04	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.03	0.03
Rbm12b1	3.3	4.51	4.81	13.5	10.55	3.35	5.41	6.38	5.46	4.49
Tmed11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rbm12b2	5.81	5.58	7.06	12.56	8.1	4.43	4.15	8.18	9.88	10.87
Gm16430	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ficd	2.84	4.05	2.0	3.1	3.87	1.96	1.86	2.52	1.71	2.73
Gm15107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm16434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm16432	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.02	0.02
Ttc21a	0.99	0.25	0.26	0.09	0.34	0.06	0.21	2.11	0.51	3.18
Cyp7a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0
Gm42742	26.82	30.36	21.13	32.12	36.77	28.7	24.96	19.05	21.64	30.47
Oca2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm15130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dmrtc1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dmrtc1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rpl36-ps3	0.56	0.82	0.69	0.4	1.04	1.46	1.84	0.22	1.43	0.66
Rpl36-ps4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prkrip1	27.51	37.77	30.89	34.22	36.29	39.96	25.49	24.29	24.54	30.69
Rlim	27.22	31.09	24.13	31.41	28.2	18.59	21.42	12.54	16.31	16.74
Gm30737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ttc7b	29.92	36.87	18.33	28.3	22.74	12.9	37.56	10.51	11.7	15.82
Ero1lb	5.11	4.58	2.53	4.21	4.88	1.69	3.08	23.05	14.51	20.02
Trmu	18.73	19.88	10.32	21.03	24.91	13.26	13.64	5.8	9.15	6.83
Gm16451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Trmo	9.11	11.6	9.12	11.34	10.98	9.65	9.1	6.5	15.52	15.22
Apex1	107.9	100.97	113.03	102.27	130.52	89.2	113.76	22.0	73.92	39.49
Mfsd4b1	0.0	0.03	0.0	0.0	0.0	0.07	0.21	0.0	0.03	0.0
Malrd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mfsd4b2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.03
Gm15127	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0
Mfsd4b3	0.19	0.25	0.26	0.35	0.18	0.11	0.08	0.0	0.0	0.19
Gm15128	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0
Mfsd4b4	7.34	7.23	4.61	5.3	10.46	2.8	5.39	0.6	4.46	1.26
Pfas	17.73	17.17	19.92	24.36	20.87	20.01	14.44	4.99	13.21	10.21
Mfsd4b5	0.06	0.07	0.0	0.07	0.1	0.0	0.07	0.12	0.0	0.1
Fig4	22.36	19.72	30.9	23.61	17.6	14.03	18.55	13.44	16.59	18.52
Echs1	60.24	58.02	48.26	59.98	76.68	31.03	57.19	23.16	26.07	36.16
Apex2	10.02	9.86	11.92	11.66	8.24	10.87	7.98	6.54	5.77	8.24
Uqcr10	211.59	254.2	263.76	230.25	280.32	249.74	268.44	95.81	128.62	154.38
Uqcr11	202.43	213.79	233.92	209.88	252.17	215.52	225.14	67.75	98.44	95.05
Chd1l	27.91	37.61	25.85	31.9	33.14	25.8	26.19	9.43	16.57	15.18
Gm28434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Suv39h1	62.23	72.65	64.51	60.26	57.83	55.65	53.4	20.8	27.51	37.87
Slc30a10	0.03	0.0	0.05	0.0	0.0	0.05	0.01	0.0	0.49	0.81
Cobll1	1.81	7.71	2.72	7.27	9.16	0.63	4.33	8.82	5.32	6.02
Gm4981	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Irs1	0.0	0.0	0.0	0.05	0.0	0.0	0.01	0.08	0.09	0.11
Suv39h2	6.82	8.37	8.31	7.66	8.06	7.36	6.5	2.02	4.32	5.35
Fam109a	1.16	1.27	1.56	1.14	1.98	10.61	3.28	0.79	2.6	1.36
Sptssa	27.03	31.84	27.23	26.23	52.84	28.91	30.32	45.02	64.54	57.65
Irs4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sptssb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Irs2	34.07	50.95	25.21	66.05	32.15	18.76	16.14	5.8	4.09	6.73
Aldh9a1	61.56	67.66	53.64	57.79	64.24	49.94	58.48	31.56	39.91	42.54
Irs3	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.03
Fam109b	48.95	60.18	61.44	67.8	36.82	41.67	48.75	2.65	13.28	10.43
Yif1b	54.37	62.25	37.5	43.41	64.64	35.52	50.17	11.53	27.9	20.19
Yif1a	17.28	18.22	15.33	22.03	24.15	19.43	21.01	8.03	10.42	10.14
Rangap1	74.75	90.4	83.65	75.87	81.98	112.17	75.89	33.29	53.58	65.04
Gm2310	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cep295nl	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.37	0.04	0.5
Gm906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700029J07Rik	0.46	0.69	0.68	0.64	1.22	0.35	0.96	0.81	1.41	0.56
Gm3667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0
Fign	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gria4	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0
Rprd1a	4.25	4.56	5.11	7.37	10.53	4.31	5.12	4.58	8.31	5.51
Gria3	5.27	0.47	2.85	1.17	5.2	0.34	1.71	5.36	21.62	15.43
Rprd1b	29.64	28.12	31.15	30.95	29.63	36.63	24.78	13.52	23.15	26.86
Gm904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gria2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.07	0.06
Gria1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A930033H14Rik	1.78	1.9	1.68	3.73	1.22	0.06	1.45	0.09	0.23	0.04
2810403A07Rik	28.85	38.5	26.52	43.15	38.44	27.57	22.86	32.2	41.05	41.25
Glo1	111.87	185.57	210.63	193.82	120.28	185.34	174.46	20.18	67.19	43.65
Glmn	10.33	12.29	13.34	12.98	10.51	5.96	9.22	1.48	5.22	3.49
Glmp	87.86	94.03	72.3	93.61	132.39	112.75	141.74	90.47	76.94	105.75
Gm3633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm3636	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	4.09	0.49
Hopx	10.2	0.7	2.7	0.94	0.61	3.4	4.3	22.1	8.72	23.75
Ajuba	0.97	0.92	0.28	1.11	0.88	0.48	0.65	0.28	2.62	0.39
Gm4969	0.0	0.0	0.0	0.15	0.14	0.0	0.09	0.0	0.04	0.0
Crebzf	34.88	35.88	37.01	68.47	37.54	31.14	24.82	32.36	48.51	35.99
Gm1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Efhb	1.65	0.7	0.17	1.57	0.13	0.0	0.24	0.0	0.0	0.0
Prdx6b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Stxbp5l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Uckl1	36.4	39.36	24.52	40.19	43.06	34.69	28.91	45.22	38.56	51.23
Krt33b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.04
Krt33a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm3642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm3646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rln3	1.14	0.16	0.0	0.0	0.78	0.44	3.43	0.09	0.0	0.0
Rln1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Erich5	0.0	0.0	0.06	0.0	0.3	0.0	0.0	0.11	0.06	0.4
Erich6	0.04	0.0	0.0	0.04	0.04	0.03	0.0	0.0	0.0	0.0
Erich3	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0
Ppp5c	42.17	33.17	41.22	38.9	48.39	55.82	46.26	30.77	44.16	33.97
Erich4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0
Erich1	3.71	3.79	2.05	4.95	5.08	5.58	5.38	9.21	3.44	8.33
Gm3696	0.0	0.0	0.0	0.0	0.0	0.2	0.09	0.2	0.7	0.15
Erich2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sord	194.17	179.62	170.75	178.63	130.14	22.32	92.85	13.23	109.41	31.2
Gm933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Skp1a	213.86	246.36	236.12	269.61	280.83	171.96	271.16	82.12	142.93	119.11
Fam105a	4.11	2.66	1.47	2.92	0.88	7.82	5.31	22.59	10.99	24.05
Rasl11b	1.02	0.31	0.31	0.1	0.95	0.17	0.11	6.85	1.07	7.68
Grid2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rasl11a	5.05	5.01	5.29	4.9	9.28	24.37	10.27	0.0	1.56	0.06
Srbd1	18.55	22.2	19.54	23.45	23.01	21.88	20.57	7.24	11.51	12.53
Golt1b	61.13	55.72	59.56	50.3	37.64	45.49	61.18	10.44	16.17	15.54
Grid1	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Golt1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Map3k7cl	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0
Stoml1	12.7	15.23	4.92	11.1	17.39	7.27	8.83	10.06	8.86	11.99
Stoml2	123.93	131.67	142.53	124.57	142.09	191.21	138.8	34.88	60.24	59.9
Gm27179	0.15	0.02	0.1	0.0	0.0	0.0	0.05	0.0	0.05	0.0
Stoml3	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.12	0.0
Col28a1	0.0	0.02	0.0	0.0	0.02	0.0	0.0	0.01	17.65	0.06
Ogfrl1	34.44	36.72	22.9	18.47	38.31	8.0	19.26	55.79	37.95	80.5
Ppp6c	78.46	83.0	100.86	94.32	84.34	73.83	85.48	50.43	46.03	64.46
9230110C19Rik	0.37	0.96	0.24	1.23	4.21	0.31	0.94	0.0	0.8	0.43
Sos2	30.47	28.55	19.0	31.9	29.39	17.36	22.64	23.66	19.28	38.76
Sos1	13.65	26.07	15.11	28.52	35.71	7.42	10.51	5.2	7.56	6.59
Col15a1	0.39	0.17	0.01	0.0	0.02	1.38	1.31	0.09	0.0	0.22
Rint1	37.93	33.61	27.34	43.02	25.61	15.57	22.88	8.33	13.57	10.87
Ubash3b	21.86	57.66	22.56	42.14	58.87	64.41	56.43	8.92	8.21	12.06
Hs3st4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cd59a	349.69	413.54	298.84	510.66	137.1	183.14	232.7	3.46	13.54	3.2
Hs3st1	0.05	0.17	0.23	0.0	0.0	0.57	0.44	2.84	2.1	2.96
Hs3st2	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.26	0.0	0.0
Cd59b	9.44	9.51	6.06	13.13	12.35	4.45	4.9	0.11	1.93	2.53
Gm42791	1.4	2.52	0.58	2.67	6.5	1.31	1.3	1.44	1.73	1.67
Gls2	3.09	1.33	2.57	2.59	0.8	3.98	1.17	0.45	0.43	1.03
Hs3st5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hs3st6	0.0	0.0	0.0	0.0	0.23	3.03	1.25	0.0	0.0	0.0
Gm3676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fam107a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fam107b	166.97	295.84	104.63	217.07	258.49	47.76	121.21	317.47	206.79	406.59
Ubash3a	29.34	41.9	21.94	37.98	39.18	5.02	38.91	8.96	7.31	11.8
Pfkl	44.79	32.98	34.81	40.4	46.95	34.46	62.35	13.4	34.04	15.7
Glrb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Txnl1	83.1	101.59	127.7	118.68	95.88	128.67	90.15	25.32	41.95	37.36
Gm1045	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0
Gm1043	0.03	0.0	0.03	0.0	0.0	0.01	0.0	0.72	0.54	0.31
Pfkm	27.26	27.54	31.03	28.2	31.82	49.42	29.89	2.32	12.01	9.42
Try5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pfkp	28.05	18.49	16.88	19.51	25.18	20.9	33.79	30.81	44.5	35.67
Try4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Irx1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hnrnpul2	105.69	134.03	113.61	135.27	134.18	116.41	126.0	79.23	81.88	104.71
Irx2	0.0	0.19	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0
Hnrnpul1	194.91	275.95	175.07	217.23	212.1	162.32	193.49	110.9	112.43	166.64
E130208F15Rik	0.24	0.71	0.45	0.8	0.78	0.73	1.05	0.16	0.76	0.18
Dcdc2c	0.06	0.2	0.22	0.2	1.15	0.0	0.12	0.19	0.0	0.0
Irx5	0.0	0.11	0.09	0.07	0.07	0.0	0.03	0.0	0.0	0.03
Irx6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dcdc2b	0.74	0.46	0.46	1.81	2.88	0.3	0.87	0.51	1.0	1.28
Irx3	0.8	19.7	5.54	38.35	15.52	0.02	1.53	0.04	0.0	0.0
Dcdc2a	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Efl1	15.37	15.63	14.16	18.95	22.61	16.25	17.36	8.89	11.43	12.31
Gm3685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Irx4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rasl10b	0.0	0.03	0.02	0.0	0.0	0.0	0.03	0.0	0.0	0.0
Rasl10a	0.08	0.0	0.07	0.0	0.08	0.41	0.08	0.08	0.26	0.41
Gm960	0.0	0.0	0.03	0.0	0.0	0.03	0.04	0.0	0.03	0.03
Sost	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sox3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rfesd	18.34	15.87	29.28	22.07	12.95	42.17	24.72	3.5	6.92	5.39
Sox2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4907	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.05
Sox1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm973	0.88	0.92	1.13	0.98	0.81	5.98	3.52	0.79	0.5	1.1
4930407I10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01
C87414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sox9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sox8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.29
Sox7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sox6	61.92	55.61	76.49	73.83	20.88	53.62	30.62	5.07	36.41	35.81
Sox5	0.45	0.84	0.45	0.8	0.35	2.26	1.72	0.06	0.69	0.42
Sox4	2.59	3.39	4.96	4.25	22.03	5.23	6.57	13.62	44.29	16.98
Mipol1	3.08	3.78	3.97	5.15	5.86	4.49	4.17	2.05	2.9	1.8
Apela	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glrx	69.67	42.63	46.66	42.85	56.21	20.08	35.39	176.48	60.37	212.2
Dcp1a	10.51	14.15	11.98	16.07	15.3	13.68	9.41	9.35	11.07	12.11
Dcp1b	13.58	14.58	9.03	15.18	12.91	6.12	10.39	3.98	6.32	5.94
Cttnbp2	0.0	0.22	0.19	0.35	2.01	0.0	0.93	0.0	0.0	0.0
Cant1	20.92	24.59	19.63	27.72	28.71	16.57	22.66	16.68	18.24	20.38
1810041L15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ncaph2	173.31	178.22	152.21	150.62	140.17	173.79	121.9	66.44	87.56	118.01
Pfn4	5.79	9.36	6.25	9.11	11.01	0.75	4.9	0.07	1.11	0.11
Pfn1	1207.57	1159.34	951.88	1027.23	1395.35	1132.93	1639.81	1100.65	779.58	1282.71
Pfn3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pfn2	5.85	2.48	3.52	4.12	2.62	0.39	4.57	0.84	1.36	0.58
Pola2	36.53	41.79	42.32	45.41	40.15	46.1	37.61	16.0	24.29	25.97
Pola1	53.73	77.72	68.87	68.17	62.83	45.3	39.9	13.93	23.63	25.6
Gm996	0.02	0.08	0.08	0.13	0.04	0.04	0.07	0.11	0.33	0.11
Dynlt1c	13.01	8.78	6.89	8.18	5.62	10.45	6.4	13.58	11.42	18.8
Dynlt1b	61.37	47.62	60.91	56.48	97.66	105.04	127.22	76.52	49.75	111.92
Dynlt1a	30.84	51.45	41.58	36.58	34.76	68.34	39.86	17.89	10.94	35.24
Ocln	0.0	0.0	0.0	0.0	0.0	3.52	0.04	0.0	0.0	0.0
Olfr1274-ps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dynlt1f	52.46	55.39	53.98	48.27	67.57	68.04	82.91	44.38	46.34	71.71
Saraf	62.43	66.93	46.66	61.96	80.37	58.95	90.7	36.44	49.25	40.22
C87436	13.79	17.2	12.76	19.22	24.12	11.66	11.01	11.65	13.78	12.51
Slc5a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lca5l	0.0	0.0	0.03	0.04	0.1	0.0	0.0	0.0	0.03	0.02
Slc5a3	0.17	0.58	0.28	0.62	0.53	0.38	0.28	0.36	0.81	0.94
Slc5a2	0.56	0.13	0.34	0.27	0.26	0.71	0.12	0.15	0.15	0.29
Slc5a5	0.0	0.1	0.05	0.03	0.03	0.02	0.0	0.05	0.0	0.02
Il12rb1	2.2	0.33	0.91	0.36	2.91	4.69	9.62	1.12	0.56	1.3
Gltp	43.63	35.16	35.12	35.0	25.35	40.29	28.01	63.62	67.13	78.71
Fis1	139.77	138.36	148.4	120.41	155.7	177.42	137.67	153.01	131.48	189.93
Slc5a7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slc5a6	2.45	3.49	3.74	5.92	7.01	2.48	3.82	2.2	3.29	2.38
Slc5a9	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.17	0.02	0.0
Il12rb2	1.95	0.77	0.98	0.2	0.29	0.64	0.82	2.28	5.35	2.73
Slc5a8	0.0	0.0	0.01	0.02	0.0	0.0	0.0	0.0	0.0	0.0
Kremen2	0.19	0.04	0.07	0.17	0.04	0.15	0.43	0.08	0.03	0.0
Kremen1	2.44	4.15	1.3	3.69	4.68	2.62	5.11	3.16	3.19	4.07
Tollip	23.79	37.33	25.22	27.67	38.06	31.45	30.84	21.71	25.58	32.61
Mllt11	1.86	2.8	2.72	4.29	4.97	3.5	3.2	4.47	5.09	3.36
Mllt10	43.02	42.19	41.37	50.98	43.37	44.66	44.73	23.7	25.68	37.2
Grik5	1.94	1.46	1.33	1.87	2.19	0.63	1.6	1.47	6.3	2.28
Grik2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Grik1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Grik4	0.02	0.05	0.0	0.0	0.08	0.0	0.03	0.02	0.0	0.0
Grik3	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0
Hars2	14.73	21.15	14.21	23.76	26.7	13.76	15.16	14.0	18.15	15.89
1700028K03Rik	0.0	0.14	0.0	0.25	0.05	0.0	0.0	0.0	0.0	0.09
Glul	59.27	44.32	38.29	7.37	33.41	131.18	74.28	62.47	87.58	88.32
D13Ertd608e	0.0	0.0	0.0	0.0	0.0	0.18	0.0	2.85	4.21	14.4
Cd55b	2.3	7.22	3.03	15.41	0.87	0.48	8.27	0.99	0.69	0.19
March4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dcp2	22.7	24.56	20.69	28.51	25.92	17.49	22.66	14.59	22.55	25.82
March3	13.95	21.32	21.78	15.0	9.08	69.03	20.49	8.8	28.4	25.99
March6	54.04	56.25	48.46	81.68	50.21	50.91	38.56	25.5	34.28	33.28
Krt27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
March7	67.76	68.27	59.3	73.59	60.28	57.49	57.88	34.03	31.52	43.37
Krt28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Krt25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Krt26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm3618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dyrk1a	41.83	54.76	37.93	47.02	40.47	36.18	38.32	27.42	30.27	39.15
Mkrn3	0.0	0.18	0.09	0.25	0.28	0.0	0.19	0.04	0.19	0.0
Mkrn2	10.87	11.92	9.74	11.29	13.13	13.15	11.99	7.68	7.3	10.73
Dyrk1b	5.68	4.53	3.78	4.84	7.7	6.23	6.56	5.76	5.74	6.77
Prorsd1	14.02	18.88	21.51	21.3	17.52	26.73	20.07	19.44	20.98	20.33
Krt23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mkrn1	109.31	167.8	154.43	116.88	114.71	548.69	199.24	576.08	685.22	249.98
Krt24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.39	0.0
Krt20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03
March1	6.19	1.01	1.29	0.46	0.37	1.07	0.62	33.19	16.07	28.71
Cfap161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07
